,p value,node index,perturbed
0,0.0001,0,True
1,0.0511,1,False
2,0.753,2,False
3,0.5548,3,False
4,0.8285,4,False
5,0.3606,5,False
6,0.4471,6,False
7,0.006,7,False
8,0.2223,8,False
9,0.1817,9,False
10,0.8179,10,False
11,0.8298,11,False
12,0.5656,12,False
13,0.2172,13,False
14,0.6751,14,False
15,0.3365,15,False
16,0.3842,16,False
17,0.0731,17,False
18,0.1519,18,False
19,0.2891,19,False
20,0.2488,20,False
21,0.5788,21,False
22,0.0046,22,False
23,0.1509,23,False
24,0.8825,24,False
25,0.8006,25,False
26,0.1703,26,False
27,0.3211,27,False
28,0.7162,28,False
29,0.5228,29,False
30,0.6411,30,False
31,0.5189,31,False
32,0.196,32,False
33,0.309,33,False
34,0.5173,34,False
35,0.2121,35,False
36,0.2082,36,False
37,0.5689,37,False
38,0.4686,38,False
39,0.9926,39,False
40,0.548,40,False
41,0.5675,41,False
42,0.8179,42,False
43,0.28,43,False
44,0.1313,44,False
45,0.316,45,False
46,0.992,46,False
47,0.0598,47,False
48,0.0548,48,False
49,0.6658,49,False
50,0.0933,50,False
51,0.0687,51,False
52,0.1341,52,False
53,0.8328,53,False
54,0.124,54,False
55,0.5284,55,False
56,0.9334,56,False
57,0.6701,57,False
58,0.9291,58,False
59,0.5296,59,False
60,0.8876,60,False
61,0.6379,61,False
62,0.2667,62,False
63,0.9169,63,False
64,0.5599,64,False
65,0.5879,65,False
66,0.9777,66,False
67,0.2568,67,False
68,0.9111,68,False
69,0.3005,69,False
70,0.8006,70,False
71,0.2006,71,False
72,0.5067,72,False
73,0.6315,73,False
74,0.8457,74,False
75,0.3265,75,False
76,0.8165,76,False
77,0.4474,77,False
78,0.1557,78,False
79,0.0808,79,False
80,0.2615,80,False
81,0.1729,81,False
82,0.1837,82,False
83,0.472,83,False
84,0.0768,84,False
85,0.0983,85,False
86,0.5041,86,False
87,0.5733,87,False
88,0.3182,88,False
89,0.8448,89,False
90,0.1534,90,False
91,0.3468,91,False
92,0.9664,92,False
93,0.7249,93,False
94,0.2018,94,False
95,0.9739,95,False
96,0.8121,96,False
97,0.0498,97,False
98,0.0995,98,False
99,0.0742,99,False
100,0.0097,100,False
101,0.0239,101,False
102,0.4735,102,False
103,0.3757,103,False
104,0.227,104,False
105,0.3308,105,False
106,0.7969,106,False
107,0.3594,107,False
108,0.0949,108,False
109,0.8002,109,False
110,0.7049,110,False
111,0.9383,111,False
112,0.1605,112,False
113,0.6453,113,False
114,0.4356,114,False
115,0.0008,115,False
116,0.1523,116,False
117,0.025,117,False
118,0.7844,118,False
119,0.6564,119,False
120,0.7004,120,False
121,0.9341,121,False
122,0.5745,122,False
123,0.2476,123,False
124,0.772,124,False
125,0.5311,125,False
126,0.4773,126,False
127,0.8458,127,False
128,0.8513,128,False
129,0.3231,129,False
130,0.1595,130,False
131,0.7695,131,False
132,0.1328,132,False
133,0.1645,133,False
134,0.2914,134,False
135,0.0711,135,False
136,0.1093,136,False
137,0.9252,137,False
138,0.9942,138,False
139,0.538,139,False
140,0.3598,140,False
141,0.319,141,False
142,0.6908,142,False
143,0.8087,143,False
144,0.0903,144,False
145,0.4745,145,False
146,0.5767,146,False
147,0.3595,147,False
148,0.786,148,False
149,0.4442,149,False
150,0.4421,150,False
151,0.57,151,False
152,0.743,152,False
153,0.7235,153,False
154,0.368,154,False
155,0.4295,155,False
156,0.1452,156,False
157,0.1518,157,False
158,0.1202,158,False
159,0.0301,159,False
160,0.2423,160,False
161,0.0764,161,False
162,0.1701,162,False
163,0.9319,163,False
164,0.6343,164,False
165,0.6012,165,False
166,0.4375,166,False
167,0.8109,167,False
168,0.7367,168,False
169,0.3035,169,False
170,0.2851,170,False
171,0.2301,171,False
172,0.1869,172,False
173,0.3922,173,False
174,0.0203,174,False
175,0.385,175,False
176,0.3869,176,False
177,0.4472,177,False
178,0.9315,178,False
179,0.9587,179,False
180,0.6539,180,False
181,0.2068,181,False
182,0.029,182,False
183,0.7829,183,False
184,0.7876,184,False
185,0.3577,185,False
186,0.2952,186,False
187,0.88,187,False
188,0.6242,188,False
189,0.5482,189,False
190,0.897,190,False
191,0.5016,191,False
192,0.8298,192,False
193,0.3555,193,False
194,0.9212,194,False
195,0.3873,195,False
196,0.6222,196,False
197,0.5279,197,False
198,0.0712,198,False
199,0.9893,199,False
